,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
2,construction,2A,3,4,0.6567251461988304,4037.9261882406536
3,construction,2A,3,5,0.6894736842105263,5473.079093181917
4,construction,2A,3,6,0.623391812865497,5571.273502029431
5,construction,2A,3,7,0.623391812865497,7638.585098376945
6,construction,2A,3,8,0.5590643274853802,7568.191616599459
7,construction,2A,3,9,0.5257309941520468,8308.324013728223
8,construction,2A,3,10,0.5257309941520468,10337.329457731987
9,construction,2A,3,11,0.5035087719298246,12186.998964235754
10,construction,2A,3,12,0.5046783625730994,14254.310072302018
11,construction,2A,3,13,0.4842105263157895,15544.668055368282
12,construction,2A,3,14,0.4625730994152047,17437.517249372046
13,construction,2A,3,15,0.32280701754385965,18865.93284962581
14,construction,2A,3,16,0.3023391812865497,20475.757629567073
15,construction,2A,3,17,0.3239766081871345,22128.041393883337
16,construction,2A,3,18,0.2701754385964912,23873.2821894496
17,construction,2A,3,19,0.30116959064327486,25871.082555328365
18,construction,2A,3,20,0.2695906432748538,27441.70225714463
0,systems,2A,3,2,0.6555555555555554,-311.0194760782779
1,systems,2A,3,3,0.6029239766081871,-569.0700432770909
2,systems,2A,3,4,0.5929824561403508,1173.694819211596
3,systems,2A,3,5,0.42105263157894735,1939.196986387784
4,systems,2A,3,6,0.42982456140350883,4462.199153563972
5,systems,2A,3,7,0.47368421052631576,6095.876125427658
6,systems,2A,3,8,0.39824561403508774,8183.5687222913475
7,systems,2A,3,9,0.4403508771929824,10406.130459780034
8,systems,2A,3,10,0.45087719298245615,12914.758603518723
9,systems,2A,3,11,0.4304093567251462,15498.27932538241
10,systems,2A,3,12,0.34502923976608185,17533.097898808595
11,systems,2A,3,13,0.35438596491228064,20086.703581609785
12,systems,2A,3,14,0.3532163742690058,22511.77899097347
13,systems,2A,3,15,0.33450292397660814,24746.396392524657
14,systems,2A,3,16,0.3011695906432748,26687.679809700843
15,systems,2A,3,17,0.3116959064327485,28977.969086252037
16,systems,2A,3,18,0.2567251461988304,31093.561097178223
17,systems,2A,3,19,0.2912280701754386,33771.47732685441
18,systems,2A,3,20,0.24619883040935675,36225.264650280595
0,energy_loads,2A,3,2,0.9894736842105264,1261.316681758346
1,energy_loads,2A,3,3,0.935672514619883,1175.5571793176894
2,energy_loads,2A,3,4,0.795906432748538,634.1911094942202
3,energy_loads,2A,3,5,0.7853801169590644,623.2998321512199
4,energy_loads,2A,3,6,0.764327485380117,640.597512022575
5,energy_loads,2A,3,7,0.7538011695906432,203.87949059998482
6,energy_loads,2A,3,8,0.5912280701754385,714.7716300050313
7,energy_loads,2A,3,9,0.4631578947368421,591.472912476484
8,energy_loads,2A,3,10,0.4321637426900585,666.3523260514525
9,energy_loads,2A,3,11,0.44269005847953213,722.5009351830615
10,energy_loads,2A,3,12,0.6339181286549708,541.3906026642799
11,energy_loads,2A,3,13,0.560233918128655,640.0602994423732
12,energy_loads,2A,3,14,0.6023391812865497,690.4431920212478
13,energy_loads,2A,3,15,0.5596491228070175,642.5691876274661
14,energy_loads,2A,3,16,0.3766081871345029,712.8623585266535
15,energy_loads,2A,3,17,0.3766081871345029,775.6963619453718
16,energy_loads,2A,3,18,0.3766081871345029,838.5526431961214
17,energy_loads,2A,3,19,0.36608187134502923,855.9485362632772
18,energy_loads,2A,3,20,0.36608187134502923,887.7039264007456
0,construction,2A,4,2,0.6209523809523809,1008.8912074845607
1,construction,2A,4,3,0.5942857142857143,974.2580698476622
2,construction,2A,4,4,0.5666666666666667,2031.2063531092008
3,construction,2A,4,5,0.5266666666666666,1948.5132789488644
4,construction,2A,4,6,0.4447619047619048,3347.848036819778
5,construction,2A,4,7,0.3628571428571428,3935.2760564094424
6,construction,2A,4,8,0.5266666666666666,5533.702122874105
7,construction,2A,4,9,0.4980952380952381,6994.1692049637695
8,construction,2A,4,10,0.40952380952380957,7808.241267522184
9,construction,2A,4,11,0.40476190476190477,8625.525732424347
10,construction,2A,4,12,0.41809523809523813,10098.886857482761
11,construction,2A,4,13,0.3371428571428571,11499.678158322426
12,construction,2A,4,14,0.3628571428571429,12338.095435724586
13,construction,2A,4,15,0.28476190476190477,13265.80372875175
14,construction,2A,4,16,0.32571428571428573,14595.554013966415
15,construction,2A,4,17,0.31047619047619046,15717.42051011858
16,construction,2A,4,18,0.2561904761904762,16970.804584395744
17,construction,2A,4,19,0.2695238095238095,18358.137877422905
18,construction,2A,4,20,0.27142857142857146,19760.25046732507
0,systems,2A,4,2,0.7038095238095238,407.41909853979905
1,systems,2A,4,3,0.7142857142857142,1847.5669352391133
2,systems,2A,4,4,0.6485714285714286,1973.5255629540525
3,systems,2A,4,5,0.5933333333333334,2588.782530512741
4,systems,2A,4,6,0.5942857142857143,4351.38666604018
5,systems,2A,4,7,0.5380952380952382,5300.130938286369
6,systems,2A,4,8,0.5676190476190476,7685.417691001308
7,systems,2A,4,9,0.5685714285714286,8812.156592153748
8,systems,2A,4,10,0.5676190476190476,10235.426743306187
9,systems,2A,4,11,0.4876190476190477,11789.181269458626
10,systems,2A,4,12,0.35333333333333333,12962.525639361065
11,systems,2A,4,13,0.4876190476190477,14225.984267076004
12,systems,2A,4,14,0.4742857142857142,15932.085472915944
13,systems,2A,4,15,0.4066666666666666,17563.989413130883
14,systems,2A,4,16,0.3380952380952381,19570.750775220822
15,systems,2A,4,17,0.3238095238095238,21410.20159043576
16,systems,2A,4,18,0.31047619047619046,23209.362366588197
17,systems,2A,4,19,0.3076190476190476,25097.82001774064
18,systems,2A,4,20,0.29333333333333333,27015.449543893075
0,energy_loads,2A,4,2,0.7952380952380952,169.84530136684216
1,energy_loads,2A,4,3,0.7438095238095238,143.26512934555308
2,energy_loads,2A,4,4,0.7304761904761905,130.06903725743052
3,energy_loads,2A,4,5,0.6895238095238095,158.97692618737432
4,energy_loads,2A,4,6,0.6885714285714285,140.2888678516931
5,energy_loads,2A,4,7,0.4057142857142857,259.4778236761682
6,energy_loads,2A,4,8,0.48666666666666664,227.0557870690027
7,energy_loads,2A,4,9,0.5009523809523809,221.06572678019654
8,energy_loads,2A,4,10,0.49904761904761896,363.21684080779653
9,energy_loads,2A,4,11,0.40476190476190477,366.8429914564904
10,energy_loads,2A,4,12,0.26857142857142857,388.23726954659037
11,energy_loads,2A,4,13,0.30857142857142855,437.1743943163781
12,energy_loads,2A,4,14,0.28476190476190477,455.2492143986656
13,energy_loads,2A,4,15,0.2571428571428571,517.7518298911095
14,energy_loads,2A,4,16,0.2704761904761905,590.8544209694908
15,energy_loads,2A,4,17,0.2819047619047619,643.444072594747
16,energy_loads,2A,4,18,0.27142857142857146,675.5303672864097
17,energy_loads,2A,4,19,0.28476190476190477,735.315087271041
18,energy_loads,2A,4,20,0.27142857142857146,794.677138798641
0,construction,2A,5,2,0.8411764705882352,1943.3846071947573
1,construction,2A,5,3,0.6176470588235294,1412.7706645028488
2,construction,2A,5,4,0.6705882352941177,1078.6711261078153
3,construction,2A,5,5,0.5,1081.0671931815314
4,construction,2A,5,6,0.6,1279.2074008802474
5,construction,2A,5,7,0.4352941176470589,2233.0536632664644
6,construction,2A,5,8,0.37647058823529406,2764.0581287776804
7,construction,2A,5,9,0.35294117647058826,3511.7579067888964
8,construction,2A,5,10,0.3235294117647059,3124.3922551126125
9,construction,2A,5,11,0.2941176470588235,4072.5529706238285
10,construction,2A,5,12,0.2823529411764706,5349.818178322545
11,construction,2A,5,13,0.32352941176470595,5017.897839146262
